artist,track,position,date
The 2 Live Crew,Me So Horny,1,1989-11-04
Young M.C.,Bust A Move,2,1989-11-04
Big Daddy Kane,Smooth Operator,3,1989-11-04
MC Lyte,Cha Cha Cha,4,1989-11-04
Kool Moe Dee,I Go To Work,5,1989-11-04
Wreckx-N-Effect,New Jack Swing,6,1989-11-04
M.C. Hammer,They Put Me In The Mix,7,1989-11-04
Biz Markie,Just A Friend,8,1989-11-04
The D.O.C.,It's Funky Enough,9,1989-11-04
Heavy D & The Boyz,Somebody For Me,10,1989-11-04
De La Soul,Say No Go,11,1989-11-04
Ice-T,Lethal Weapon,12,1989-11-04
Cool C,Glamorous Life,13,1989-11-04
Kwame,The Rhythm,14,1989-11-04
Boogie Down Productions,You Must Learn,15,1989-11-04
Redhead Kingpin & The F.B.I.,Do The Right Thing,16,1989-11-04
High Performance,Do You Really Wanna Party?,17,1989-11-04
3rd Bass,Steppin' Into The A.M.,18,1989-11-04
Run-D.M.C.,Pause,19,1989-11-04
Public Enemy,Fight The Power,20,1989-11-04
Sir Mix-A-Lot,Beepers,21,1989-11-04
N.W.A.,Express Yourself,22,1989-11-04
EPMD,So Wat Cha Sayin',23,1989-11-04
D.J. Jazzy Jeff & The Fresh Prince,I Think I Can Beat Mike T.,24,1989-11-04
Mellow Man Ace,Rhyme Fighter,25,1989-11-04
The 2 Live Crew,Me So Horny,1,1989-11-11
MC Lyte,Cha Cha Cha,2,1989-11-11
Young M.C.,Bust A Move,3,1989-11-11
Wreckx-N-Effect,New Jack Swing,4,1989-11-11
Big Daddy Kane,Smooth Operator,5,1989-11-11
Heavy D & The Boyz,Somebody For Me,6,1989-11-11
Biz Markie,Just A Friend,7,1989-11-11
Kool Moe Dee,I Go To Work,8,1989-11-11
M.C. Hammer,They Put Me In The Mix,9,1989-11-11
The D.O.C.,It's Funky Enough,10,1989-11-11
3rd Bass,Steppin' Into The A.M.,11,1989-11-11
Cool C,Glamorous Life,12,1989-11-11
Ice-T,Lethal Weapon,13,1989-11-11
De La Soul,Say No Go,14,1989-11-11
Boogie Down Productions,You Must Learn,15,1989-11-11
Sir Mix-A-Lot,Beepers,16,1989-11-11
D.J. Jazzy Jeff & The Fresh Prince,I Think I Can Beat Mike T.,17,1989-11-11
High Performance,Do You Really Wanna Party?,18,1989-11-11
Redhead Kingpin & The F.B.I.,Do The Right Thing,19,1989-11-11
Kwame,The Rhythm,20,1989-11-11
Run-D.M.C.,Pause,21,1989-11-11
Mellow Man Ace,Rhyme Fighter,22,1989-11-11
Awesome Dre & The Hard Core Committee,Nothin' But A Gangster,23,1989-11-11
Ms. Melodie,Frankly Speaking,24,1989-11-11
The 2 Live Crew,Me So Horny,1,1989-11-18
MC Lyte,Cha Cha Cha,2,1989-11-18
Wreckx-N-Effect,New Jack Swing,3,1989-11-18
Young M.C.,Bust A Move,4,1989-11-18
Heavy D & The Boyz,Somebody For Me,5,1989-11-18
Biz Markie,Just A Friend,6,1989-11-18
3rd Bass,Steppin' Into The A.M.,7,1989-11-18
Kool Moe Dee,I Go To Work,8,1989-11-18
Big Daddy Kane,Smooth Operator,9,1989-11-18
D.J. Jazzy Jeff & The Fresh Prince,I Think I Can Beat Mike T.,10,1989-11-18
Sir Mix-A-Lot,Beepers,11,1989-11-18
Cool C,Glamorous Life,12,1989-11-18
Ice-T,Lethal Weapon,13,1989-11-18
M.C. Hammer,They Put Me In The Mix,14,1989-11-18
De La Soul,Say No Go,15,1989-11-18
High Performance,Do You Really Wanna Party?,16,1989-11-18
Boogie Down Productions,You Must Learn,17,1989-11-18
The D.O.C.,It's Funky Enough,18,1989-11-18
The D.O.C.,The D.O.C. & The Doctor,19,1989-11-18
Awesome Dre & The Hard Core Committee,Frankly Speaking,20,1989-11-18
Ms. Melodie,Nothin' But A Gangster,21,1989-11-18
Redhead Kingpin & The F.B.I.,"Wake Up, Wake Up!",22,1989-11-18
Mellow Man Ace,Do The Right Thing,23,1989-11-18
Donald-D,Rhyme Fighter,24,1989-11-18
The 2 Live Crew,Me So Horny,1,1989-11-25
MC Lyte,Cha Cha Cha,2,1989-11-25
Wreckx-N-Effect,New Jack Swing,3,1989-11-25
Heavy D & The Boyz,Somebody For Me,4,1989-11-25
Young M.C.,Bust A Move,5,1989-11-25
Biz Markie,Just A Friend,6,1989-11-25
3rd Bass,Steppin' Into The A.M.,7,1989-11-25
Sir Mix-A-Lot,Beepers,8,1989-11-25
D.J. Jazzy Jeff & The Fresh Prince,I Think I Can Beat Mike T.,9,1989-11-25
Kool Moe Dee,I Go To Work,10,1989-11-25
Cool C,Glamorous Life,11,1989-11-25
The D.O.C.,The D.O.C. & The Doctor,12,1989-11-25
Big Daddy Kane,Smooth Operator,13,1989-11-25
Awesome Dre & The Hard Core Committee,Frankly Speaking,14,1989-11-25
Ice-T,Lethal Weapon,15,1989-11-25
M.C. Hammer,They Put Me In The Mix,16,1989-11-25
Donald-D,F.B.I.,17,1989-11-25
Ice Cream Tee,Let's Work,18,1989-11-25
Boogie Down Productions,You Must Learn,19,1989-11-25
The D.O.C.,It's Funky Enough,20,1989-11-25
Ms. Melodie,"Wake Up, Wake Up!",21,1989-11-25
Mellow Man Ace,Rhyme Fighter,22,1989-11-25
Gucci Crew II,Nothin' But A Gangster,23,1989-11-25
High Performance,Five Dollar High,24,1989-11-25
MC Lyte,Cha Cha Cha,1,1989-12-02
The 2 Live Crew,Me So Horny,2,1989-12-02
Wreckx-N-Effect,New Jack Swing,3,1989-12-02
Heavy D & The Boyz,Somebody For Me,4,1989-12-02
Biz Markie,Just A Friend,5,1989-12-02
3rd Bass,Steppin' Into The A.M.,6,1989-12-02
Sir Mix-A-Lot,Beepers,7,1989-12-02
D.J. Jazzy Jeff & The Fresh Prince,I Think I Can Beat Mike T.,8,1989-12-02
Young M.C.,Bust A Move,9,1989-12-02
The D.O.C.,The D.O.C. & The Doctor,10,1989-12-02
Awesome Dre & The Hard Core Committee,Frankly Speaking,11,1989-12-02
Donald-D,F.B.I.,12,1989-12-02
Cool C,Glamorous Life,13,1989-12-02
Kool Moe Dee,I Go To Work,14,1989-12-02
Arabian Prince,She's Got A Big Posse,15,1989-12-02
Big Daddy Kane,Smooth Operator,16,1989-12-02
Ice-T,Lethal Weapon,17,1989-12-02
Gucci Crew II,Nothin' But A Gangster,18,1989-12-02
Ms. Melodie,Five Dollar High,19,1989-12-02
Mellow Man Ace,"Wake Up, Wake Up!",20,1989-12-02
Ice Cream Tee,Rhyme Fighter,21,1989-12-02
M.C. Hammer,Let's Work,22,1989-12-02
Redhead Kingpin & The F.B.I.,They Put Me In The Mix,23,1989-12-02
Body & Soul,Do The Right Thing,24,1989-12-02
MC Lyte,Cha Cha Cha,1,1989-12-09
The 2 Live Crew,Me So Horny,2,1989-12-09
Wreckx-N-Effect,New Jack Swing,3,1989-12-09
Heavy D & The Boyz,Somebody For Me,4,1989-12-09
3rd Bass,Steppin' Into The A.M.,5,1989-12-09
Sir Mix-A-Lot,Beepers,6,1989-12-09
Biz Markie,Just A Friend,7,1989-12-09
D.J. Jazzy Jeff & The Fresh Prince,I Think I Can Beat Mike T.,8,1989-12-09
The D.O.C.,The D.O.C. & The Doctor,9,1989-12-09
Donald-D,F.B.I.,10,1989-12-09
Awesome Dre & The Hard Core Committee,Frankly Speaking,11,1989-12-09
Young M.C.,Bust A Move,12,1989-12-09
Arabian Prince,She's Got A Big Posse,13,1989-12-09
Rob Base,Turn It Out,14,1989-12-09
Gucci Crew II,Five Dollar High,15,1989-12-09
Kool Moe Dee,I Go To Work,16,1989-12-09
Mellow Man Ace,Rhyme Fighter,17,1989-12-09
Cool C,Glamorous Life,18,1989-12-09
Young M.C.,Principal's Office,19,1989-12-09
Ice Cream Tee,Let's Work,20,1989-12-09
Ms. Melodie,"Wake Up, Wake Up!",21,1989-12-09
Body & Soul,Dance To The Drummer's Beat,22,1989-12-09
Ice-T,Lethal Weapon,23,1989-12-09
M.C. Hammer,Nothin' But A Gangster,24,1989-12-09
Wreckx-N-Effect,New Jack Swing,1,1989-12-16
MC Lyte,Cha Cha Cha,2,1989-12-16
Heavy D & The Boyz,Somebody For Me,3,1989-12-16
The 2 Live Crew,Me So Horny,4,1989-12-16
3rd Bass,Steppin' Into The A.M.,5,1989-12-16
Sir Mix-A-Lot,Beepers,6,1989-12-16
Biz Markie,Just A Friend,7,1989-12-16
The D.O.C.,The D.O.C. & The Doctor,8,1989-12-16
Awesome Dre & The Hard Core Committee,Frankly Speaking,9,1989-12-16
Donald-D,F.B.I.,10,1989-12-16
Arabian Prince,She's Got A Big Posse,11,1989-12-16
Young M.C.,Bust A Move,12,1989-12-16
D.J. Jazzy Jeff & The Fresh Prince,I Think I Can Beat Mike T.,13,1989-12-16
Rob Base,Turn It Out,14,1989-12-16
Gucci Crew II,Five Dollar High,15,1989-12-16
Young M.C.,Principal's Office,16,1989-12-16
Mellow Man Ace,Rhyme Fighter,17,1989-12-16
Steady B,True Feelings,18,1989-12-16
Body & Soul,Going Steady,19,1989-12-16
Kool Moe Dee,Electric Slide,20,1989-12-16
Salt-N-Pepa,Dance To The Drummer's Beat,21,1989-12-16
The Young And The Restless,I Go To Work,22,1989-12-16
Cool C,Expression,23,1989-12-16
Heavy D & The Boyz,Somebody For Me,1,1989-12-23
Wreckx-N-Effect,New Jack Swing,2,1989-12-23
The D.O.C.,The D.O.C. & The Doctor,3,1989-12-23
Sir Mix-A-Lot,Beepers,4,1989-12-23
MC Lyte,Cha Cha Cha,5,1989-12-23
3rd Bass,Steppin' Into The A.M.,6,1989-12-23
The 2 Live Crew,Me So Horny,7,1989-12-23
Donald-D,F.B.I.,8,1989-12-23
Awesome Dre & The Hard Core Committee,Frankly Speaking,9,1989-12-23
Arabian Prince,She's Got A Big Posse,10,1989-12-23
Biz Markie,Just A Friend,11,1989-12-23
Rob Base,Turn It Out,12,1989-12-23
Young M.C.,Principal's Office,13,1989-12-23
Gucci Crew II,Five Dollar High,14,1989-12-23
Young M.C.,Bust A Move,15,1989-12-23
Salt-N-Pepa,Expression,16,1989-12-23
The Young And The Restless,Electric Slide,17,1989-12-23
Redhead Kingpin & The F.B.I.,Poison Ivy,18,1989-12-23
D.J. Jazzy Jeff & The Fresh Prince,Pump It Hottie,19,1989-12-23
Steady B,I Think I Can Beat Mike T.,20,1989-12-23
Body & Soul,Going Steady,21,1989-12-23
Big Daddy Kane,True Feelings,22,1989-12-23
Mellow Man Ace,Dance To The Drummer's Beat,23,1989-12-23
The D.O.C.,The D.O.C. & The Doctor,1,1989-12-30
Sir Mix-A-Lot,Beepers,2,1989-12-30
Wreckx-N-Effect,New Jack Swing,3,1989-12-30
The 2 Live Crew,Me So Horny,4,1989-12-30
Heavy D & The Boyz,Somebody For Me,5,1989-12-30
3rd Bass,Steppin' Into The A.M.,6,1989-12-30
Awesome Dre & The Hard Core Committee,Frankly Speaking,7,1989-12-30
Donald-D,F.B.I.,8,1989-12-30
Arabian Prince,She's Got A Big Posse,9,1989-12-30
Rob Base,Turn It Out,10,1989-12-30
MC Lyte,Cha Cha Cha,11,1989-12-30
Salt-N-Pepa,Expression,12,1989-12-30
Young M.C.,Principal's Office,13,1989-12-30
Biz Markie,Just A Friend,14,1989-12-30
Gucci Crew II,Five Dollar High,15,1989-12-30
Redhead Kingpin & The F.B.I.,Pump It Hottie,16,1989-12-30
The Young And The Restless,Poison Ivy,17,1989-12-30
De La Soul,Buddy,18,1989-12-30
Steady B,Going Steady,19,1989-12-30
Young M.C.,Electric Slide,20,1989-12-30
Big Daddy Kane,Bust A Move,21,1989-12-30
Wreckx-N-Effect,True Feelings,22,1989-12-30
Chubb Rock,I Get The Job Done,23,1989-12-30
The D.O.C.,The D.O.C. & The Doctor,1,1990-01-06
Sir Mix-A-Lot,Beepers,2,1990-01-06
Wreckx-N-Effect,New Jack Swing,3,1990-01-06
The 2 Live Crew,Me So Horny,4,1990-01-06
Heavy D & The Boyz,Somebody For Me,5,1990-01-06
3rd Bass,Steppin' Into The A.M.,6,1990-01-06
Awesome Dre & The Hard Core Committee,Frankly Speaking,7,1990-01-06
Donald-D,F.B.I.,8,1990-01-06
Arabian Prince,She's Got A Big Posse,9,1990-01-06
Rob Base,Turn It Out,10,1990-01-06
MC Lyte,Cha Cha Cha,11,1990-01-06
Salt-N-Pepa,Expression,12,1990-01-06
Young M.C.,Principal's Office,13,1990-01-06
Biz Markie,Just A Friend,14,1990-01-06
Gucci Crew II,Five Dollar High,15,1990-01-06
Redhead Kingpin & The F.B.I.,Pump It Hottie,16,1990-01-06
The Young And The Restless,Poison Ivy,17,1990-01-06
De La Soul,Buddy,18,1990-01-06
Steady B,Going Steady,19,1990-01-06
Young M.C.,Electric Slide,20,1990-01-06
Big Daddy Kane,Bust A Move,21,1990-01-06
Wreckx-N-Effect,True Feelings,22,1990-01-06
Chubb Rock,I Get The Job Done,23,1990-01-06
The D.O.C.,The D.O.C. & The Doctor,1,1990-01-13
Sir Mix-A-Lot,Beepers,2,1990-01-13
Salt-N-Pepa,Expression,3,1990-01-13
Rob Base,Turn It Out,4,1990-01-13
Wreckx-N-Effect,New Jack Swing,5,1990-01-13
The 2 Live Crew,Me So Horny,6,1990-01-13
Awesome Dre & The Hard Core Committee,Frankly Speaking,7,1990-01-13
De La Soul,Buddy,8,1990-01-13
Heavy D & The Boyz,Somebody For Me,9,1990-01-13
Redhead Kingpin & The F.B.I.,Pump It Hottie,10,1990-01-13
MC Lyte,Cha Cha Cha,11,1990-01-13
Arabian Prince,She's Got A Big Posse,12,1990-01-13
3rd Bass,Steppin' Into The A.M.,13,1990-01-13
Biz Markie,Just A Friend,14,1990-01-13
Young M.C.,Principal's Office,15,1990-01-13
Big Daddy Kane,I Get The Job Done,16,1990-01-13
The Young And The Restless,Poison Ivy,17,1990-01-13
Donald-D,F.B.I.,18,1990-01-13
Wreckx-N-Effect,Juicy,19,1990-01-13
Steady B,Going Steady,20,1990-01-13
Gucci Crew II,Electric Slide,21,1990-01-13
Serious-Lee-Fine,Five Dollar High,22,1990-01-13
Chubb Rock,Nothing Can Stop Us,23,1990-01-13
Young M.C.,Stop That Train,24,1990-01-13
Salt-N-Pepa,Expression,1,1990-01-20
Sir Mix-A-Lot,Beepers,2,1990-01-20
De La Soul,Buddy,3,1990-01-20
Rob Base,Turn It Out,4,1990-01-20
The D.O.C.,The D.O.C. & The Doctor,5,1990-01-20
Redhead Kingpin & The F.B.I.,Pump It Hottie,6,1990-01-20
The 2 Live Crew,Me So Horny,7,1990-01-20
Wreckx-N-Effect,New Jack Swing,8,1990-01-20
Young M.C.,Principal's Office,9,1990-01-20
Awesome Dre & The Hard Core Committee,Frankly Speaking,10,1990-01-20
The Young And The Restless,Poison Ivy,11,1990-01-20
